film_name,genre,year,country,rate_film,description
Хранители снов,"семейный, анимация, приключения",2012,США,7.9,"Когда злой дух Кромешник посягает на самое дорогое – детские мечты, Северянин, Ледяной Джек, Пасхальный Кролик, Зубная Фея и Песочный Человек впервые объединяются, чтобы создать команду Хранителей снов..."
Эверест,"драма, приключения, триллер",2015,США / Великобритания,7.9,"Эверест — великая неприступная гора, покорить вершину которой мечтают многие профессиональные скалолазы. Одна из экспедиций на ее вершину закончилась настоящей трагедией, однако этот факт не останавливает отважных альпинистов."
Щенячий патруль в кино,"анимация, приключения",2021,США / Канада,7.9,"Когда злодей Хамдингер становится мэром города Приключений, бесстрашные щенки бросают ему вызов. Райдера с друзьями ждут опасности и веселье, тайны прошлого и новые знакомства — так, к патрулю присоединяется находчивая такса Либерти. Вооружившись новыми гаджетами, смекалкой и дружбой, команда хвостатых героев готова противостоять Хамдингеру и спасти жителей города Приключений."
Меняющие реальность,"фантастика, мелодрама",2010,США,7.9,"Конгрессмен Дэвид Норрис стремительно поднимается по карьерной лестнице. Где-то по пути он встречает красавицу-балерину Элизу, но не может понять, почему никак не может познакомиться с девушкой поближе — постоянно возникают странные обстоятельства, благодаря которым герои всё время отделены друг от друга."
Хроники Нарнии: Покоритель зари,приключения,2010,Великобритания,7.9,"Эдмунд, Люси, их кузен Юстас и король Каспиан отплывают на корабле «Покоритель Зари» на поиски дяди Каспиана, изгнанного после его недолгого правления. Путешественники переживут множество приключений на море и островах, встречающихся по пути, пока странствия не приведут их на Край Света, в страну Аслана."
Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик",2005,США,7.9,"Убиты родители Брюса Уэйна. Наследник огромного бизнеса отправляется в путешествие по миру в поисках средств борьбы с несправедливостью. Он хочет вселить ужас в тех, кто только и делает, что запугивает и обижает людей. Брюс возвращается в родной Готэм и являет миру свое ""альтер эго"" – Бэтмэна, тайного борца в маске. С помощью силы, интеллекта и богатого набора высокотехнологичных уловок, Бэтмэн начинает борьбу со зловещими силами, угрожающими городу..."
Форсаж: Хоббс и Шоу,"боевик, криминал",2019,США,7.9,"Превосходный спецагент, боец и стрелок Люк Хоббс вынужден объединиться со своим старым врагом, опаснейшим преступником Деккардом Шоу, чтобы противостоять общему противнику."
Расплата,драма,2016,США,7.9,"Кристиан Вульф – математический гений, которому цифры куда ближе, чем люди. Под прикрытием провинциальной бухгалтерской конторки он подрабатывает аудитором для самых опасных преступных организаций мира. Когда ему «на хвост»  садится отдел по борьбе с преступностью Министерства финансов во главе с Рэем Кингом, Кристиан решает найти себе законопослушного клиента и проводит аудит в компании по производству новейшей робототехники, где сотрудница финансового отдела  обнаружила «нестыковочку» в миллионы долларов. Но стоит Кристиану взяться за счета и выйти на след, как в деле начинают появляться жертвы."
28 недель спустя,"фантастика, триллер, ужасы",2007,Великобритания,7.9,"Через 6 месяцев после эпидемии Британия опустошена, население вымерло. Для организации обратной колонизации Старого света на остров высаживаются бравые американские пехотинцы. И как всегда у них возникают проблемы..."
Форсаж 4,боевик,2009,США,7.9,"Доминик проживает в Мексике, где работает на парня по имени Брага. Отправившийся по его следу Брайан загнал приятеля в угол: если он поможет властям повязать Брагу, то получит амнистию за прошлые прегрешения. Бизнес Браги заключается в незаконной транспортировке «груза» посредством автогонки через всю страну. Сложность операции заключается в том, что провернуть ее можно только изнутри: все автомобили Браги оснащены специальным металлическим покрытием, глушащим тепловой сигнал и делающим невозможным слежку с вертолетов. Брайан снова вынужден работать под прикрытием, на этот раз — на пару с Домиником."
Монстры на каникулах,"комедия, анимация, семейный",2012,США,7.9,"По иронии судьбы самый молодой представитель легендарной династии охотников на чудовищ и вампиров Саймон Ван Хельсинг влюбляется в дочь Дракулы. Понимая, что они кровные враги, трансильванские «Ромео» и «Джульетта» решают во что бы то ни стало установить мир между чудовищами и людьми."
Мег: Монстр глубины,"ужасы, фантастика, боевик",2018,США,7.9,"Глубоководный батискаф, осуществляющий наблюдение в рамках международной программы по изучению подводной жизни, был атакован огромным существом, которое все считали давно вымершим. Неисправный аппарат теперь лежит на дне глубочайшей впадины Тихого океана… с оказавшимся в ловушке экипажем. Их время на исходе. Китайский океанограф-новатор вопреки желанию своей дочери Сюин зовет спасателя-подводника Джонаса Тейлора, чтобы тот помог спасти команду – и океан – от невиданной угрозы – доисторической 23-метровой акулы, мегалодона. Никто и подумать не мог, что много лет назад Тейлор уже сталкивался с этим чудовищным созданием. Теперь, в команде с Сюин, он должен победить собственные страхи, рискнуть жизнью, чтобы спасти тех, кто заперт в батискафе… и снова встретиться лицом к лицу с величайшим хищником всех времен."
Как приручить дракона 2,"комедия, фэнтези, анимация, боевик, приключения",2014,США,7.9,"С момента примирения викингов и драконов прошло пять лет. Пока Астрид, Сморкала и остальные ребята проводят время соревнуясь друг с другом в популярных на острове драконьих гонках, Иккинг и Беззубик путешествуют по небу, составляя карту неизвестных мест. Когда одно из их приключений приводит к открытию тайной ледяной пещеры, которая является домом для сотен ранее невиданных диких драконов и таинственного драконьего всадника, два друга оказываются в центре битвы за защиту мира."
Арахисовый сокол,приключения,2019,США,7.9,"Большое путешествие начинается с шага, а легендарное - с полета. Вылетев в окно, наш герой очутился в мире, где чего-то не хватало. Его новому другу - крупной суммы денег. Паре головорезов - головы друга. Молодой медсестре - любви. А ему - путешествий на плоту, погонь, пылающих костров и немного арахисового масла."
Робин Гуд,"боевик, драма",2010,США,7.9,"После смерти короля Ричарда Робин Гуд возвращается в Ноттингем, где бесчинствует алчный шериф. В надежде избавить город от кровожадного правителя и завоевать сердце Девы Мэрион, он собирает шайку разбойников, которая становится грозой местных богачей и защитой для бедняков. У него далеко идущие планы. Понимая, что власть слаба, Робин Гуд вместе с товарищами стремится предотвратить кровавую междоусобицу и вернуть Англии былое величие..."
Стажер,комедия,2015,США,7.9,"70-летний вдовец Бен Уитакер обнаруживает, что выход на пенсию — еще не конец. Пользуясь случаем, он становится старшим стажером на сайте моды под руководством Джулс Остин."
Кролик Питер,"анимация, семейный, детский",2018,США,7.9,"Экранизация знаменитой книги детской писательницы Беатрис Поттер о приключениях маленького и непоседливого крольчонка по имени Питер, который хочет пробраться в огород к грозному фермеру и вдоволь полакомиться там фруктами и овощами."
"Знакомьтесь, Джо Блэк","мелодрама, мистика, фэнтези, драма",1998,США,7.9,"Дух смерти посещает мир живых, в целях его лучшего понимания. Наибольший интерес у него вызывает личность 65-летнего влиятельного медиа-магната Уильяма Пэрриша, жизнь которого оборвется в результате инфаркта. В качестве физической оболочки Дух смерти выбирает себе тело молодого красивого мужчины, который только что познакомился с дочерью Пэрриша Сьюзен. Этого молодого человека представляют под именем Джо Блэка, и вскорости между ним и Сьюзен Перриш возникает любовь..."
План побега,"триллер, боевик, фантастика",2013,США,7.9,"Рэй Бреслин — ведущий эксперт по безопасности, — обвинен в убийстве и брошен в одну из спроектированных им же тюрем. Теперь Рэю предстоит разработать план побега и найти подставившего его человека."
Элвин и бурундуки 2,"фантастика, комедия, семейный, мюзикл",2009,США,7.9,"Три веселых бурундука Элвин, Саймон и Теодор поступают в школу, где их ждут новые приключения. Им придется столкнуться с множеством преград со стороны одноклассников. Но самое главное-их ожидает соперничество с новой музыкальной командой, состоящей из девочек-бурундуков, которое впоследствии перерастет в большую дружбу."
Кровавый алмаз,"триллер, драма, приключения",2006,США,7.9,"Действие фильма разворачивается на фоне гражданской войны и хаоса 90-х в Сьерра-Леоне. ""Кровавый алмаз"" — история Дэнни Арчера, южноафриканского наемника, и Соломона Вэнди, рыболова из города Манд. Оба они — африканцы с абсолютно непохожими судьбами, но их объединяет обоюдное желание разыскать редчайший розовый алмаз, который может кардинально изменить их жизни. Находясь в тюрьме за перевоз контрабанды, Арчер узнает, что Соломон, которого разлучили с семьей и отправили работать на алмазные рудники, нашел и спрятал удивительный самородок. При помощи Мэдди Бауэн, американской журналистки, чей идеализм во многом обусловлен ее особым отношением к Арчеру, двое мужчин отправляются через территорию мятежников в путешествие, которое могло бы спасти семью Соломона и дать Арчеру еще один шанс, на который тот уже и не рассчитывал."
Ван Хельсинг,"приключения, ужасы, боевик, сказка",2004,США / Чехия,7.9,"Глубоко в Карпатах лежит таинственная страна Трансильвания – мир, в котором зло встречается на каждом шагу, мир, в котором опасность оживает с заходом солнца, и где монстры, живущие в глубине человеческих кошмаров, обретают форму. В этот мир попадает легендарный охотник на чудовищ Ван Хельсинг, рождённый на страницах романа ""Дракула"" Брэма Стокера. В своей непрерывной битве против сил зла и за освобождение мира от порождений ада, Ван Хельсинг, по заданию секретного общества, отправляется в Трансильванию, чтобы скрестить оружие со смертельно опасным, наделённым неведомой силой графом Дракулой. На помощь ему внезапно приходит бесстрашная Анна Валери, поставившая целью избавить свою семью от векового проклятья, наложенного убитым вампиром."
Мама,"семейный, сказка, мюзикл",1976,СССР / Франция / Румыния,7.9,"По сюжету сказки о Волке, который обманул Козу и выкрал её козлят — в новой и занимательной интерпретации."
Крид 2,"спорт, драма, боевик",2018,США,7.9,"Жизнь Адониса Крида превратилась в череду компромиссов. Пока он разрывается между долгом и тренировками к следующему большому бою, судьба готовит ему новую невыполнимую миссию. Будущий противник тесно связан с историей его семьи, что лишь повышает ставки перед предстоящим выходом на ринг. Рокки Бальбоа всегда будет на стороне Крида, и вместе они выйдут на битву с призраками их общего прошлого, выяснят, за что действительно стоит сражаться, и поймут, что нет ничего дороже семьи."
Каникулы строгого режима,"комедия, криминал",2009,Россия,7.9,"Двое не самых молодых людей — Кольцов и Сумароков — волею судьбы оказались вожатыми в пионерском лагере в компании в меру энергичного руководства и не в меру энергичных детей. Все бы ничего, да только попали они туда прямо с арестантской шконки. В лагере бывшие заключенные терпят самые разнообразные издевательства со стороны детей переходного возраста в лучших традициях пионерских лагерей. От стараний любыми способами сделать свой отряд лучшим и достойным заветной награды — поездки в Петербург, Сумароков и Кольцов раскрывают в себе уйму талантов и нерастраченного душевного тепла..."
Человек-муравей и Оса,"фантастика, боевик, приключения",2018,США,7.9,"Скотт Лэнг, известный также, как Человек-Муравей уже заслужил право оказаться в команде Мстителей, но желание быть ближе к собственной дочке удерживает его в родном Сан-Франциско – до тех пор, пока доктор Хэнк Пим, создавший когда-то изменяющий размеры своего владельца чудо-костюм, не призывает Скотта присоединиться к новой, опасной миссии. Помогать в противостоянии с коварным врагом Человеку-Муравью будет новая напарница – Оса."
Поезд на Юму,вестерн,2007,США,7.9,"Бескомпромиссный и смертельно опасный главарь банды головорезов, попадает в ловушку. Ему противостоит отчаянный смельчак, поклявшийся передать бандита в руки правосудия, от которого их отделяет лишь один поезд на Юму."
Сладкий ноябрь,"комедия, драма, мелодрама",2001,США,7.9,"Все свое существование Нельсон повящает карьере в рекламном бизнесе в Сан-Франциско. Однажды он отпрашивается с работы на пару часов (что случается с ним крайне редко), чтобы сдать экзамен на водительские права. Там он и встречает Сару, женщину, совершенно не похожую на тех, с которыми он привык иметь дело. Из-за Нельсона Сара проваливает свой экзамен, и теперь целый месяц, до следующего экзамена, она не сможет сесть за руль. В тот же день она выслеживает Нельсона, чтобы он расплатился за свою ошибку, и в итоге заставляет его потратить на нее месяц своей жизни. И этот месяц, этот сладкий ноябрь, навсегда меняет жизнь одинокого Нельсона, который до этого дня не знал ничего, кроме своей работы и карьеры."
Пять невест,комедия,2011,Россия,7.9,"Берлин, 1945 год. После победы бойцам нашей летной части предстоит провести в Германии еще некоторое время. Молодые летчики, в основном неженатые, очень истосковались по женщинам и решаются из-за этого на авантюру. Узнав, что их товарищ Алексей Каверин отправляется в командировку на родину, четверо его друзей отдают ему свои военные билеты, в каждый из которых он должен поставить штамп о заключении брака и привезти в часть на законных основаниях четырех жен для своих друзей."
Терминатор: да придет спаситель,"триллер, фантастика, боевик, драма, приключения",2009,США / Германия / Великобритания,7.9,"В пост-апокалиптическом 2018 году Джону Коннору предстоит возглавить силы сопротивления, чтобы противостоять армии терминаторов, которые уничтожили большую часть человечества. Но тут в борьбу вклинивается таинственный Маркус Райт, появившийся не то из будущего, не то из прошлого, чтобы помешать герою."
Пила 6,"триллер, мистика, криминал, ужасы",2009,США / Канада / Великобритания / Австралия,7.9,"Специальный агент Страм мертв и нет никаких сомнений в том, что детектив Хоффман является продолжателем дела Конструктора. Но когда ФБР садится ему на след, он вынужден вновь начать Игру, наконец-то расставляющую все точки над i в грандиозном плане Конструктора."
Безумный Макс: Дорога ярости,"приключения, боевик",2015,Австралия,7.9,"Вскоре после отмщения за смерть жены и сына, Макс Рокатански покинул ряды «Основного силового патруля» и уехал в глушь, где скитается в одиночестве, пока мир медленно падает в последствии нефтяного кризиса и глобальной войны. Не имея ничего, кроме своей машины «Перехватчик», Максу предстоит научиться, как выжить в пост-апокалиптической пустоши и сражаться с жестокими, безжалостными воинами, которые населяют её."
Неизвестный,"драма, криминал, триллер",2011,США,7.9,"Доктор Мартин Харрис приходит в сознание после автомобильной аварии в Берлине и обнаруживает, что его жена не узнает его, а другой мужчина присвоил себе его личность. Игнорируемый неверящими ему властями и преследуемый таинственными убийцами, измученный и вынужденный скрываться, он оказывается в одиночестве. Неожиданно на помощь ему приходит случайная союзница, и Мартин с головой погружается в водоворот смертоносной загадки, которая поставит под сомнение состояние его рассудка, идентификацию его личности и то, насколько далеко готов он зайти, чтобы выяснить правду."
Смешарики. Начало,"анимация, детский",2011,Россия,7.9,"Такую экстремальную историю про Смешариков вы не могли себе представить: покинув свою уютную Страну, Смешарики оказываются в современном мегаполисе в роли супер-героев. Зачем?"
Отряд самоубийц,"боевик, фантастика",2016,США,7.9,"Правительство решает дать команде суперзлодеев шанс на искупление. Подвох в том, что их отправляют на миссию, где они вероятнее всего погибнут."
Вспомнить все,"приключения, ужасы, боевик, триллер, фантастика",1990,США,7.9,"2048 год. Простой работяга Даг Куэйд хочет испытать неизведанное и обращается в компанию, где при помощи воздействия на мозг можно приобрести чужие воспоминания - например, о путешествии на Марс в качестве секретного агента. После сеанса все меняется в жизни Дага. Он и в самом деле попадает на Марс, где участвует в опаснейших приключениях."
Джон Уик,"боевик, триллер",2014,США,7.9,"Джон Уик - бывший наемный убийца - ведет размеренную жизнь, когда преступник крадет его любимый Mustang 1969 года и попутно убивает собаку Дейзи, единственное живое напоминание об умершей жене."
Турецкий гамбит,"криминал, исторический, приключения, военный",2005,Россия,7.9,"Фильм основан на романе Бориса Акунина о похождениях Эраста Фандорина «Турецкий Гамбит». Титулярный советник Эраст Фандорин принимает участие в военных действиях в ходе русско-турецкой войны 1877–1878 гг.Будучи сербским волонтером, Эраст Петрович знакомится с очаровательной барышней — Варварой Андреевной Суворовой, направляющейся в расположение русских войск, чтобы повидаться со своим женихом. С ее помощью Фандорину удается распутать сложное и таинственное дело о шпионаже…"
Том и Джерри,анимация,2021,США,7.9,"Кайла, работница престижного отеля, где обитает мышонок Джерри, рискующий нарушить ход дорогой свадьбы, нанимает уличного кота Тома, чтобы разобраться с наглым грызуном. Но решить эту проблему не так-то просто."
Форсаж 6,"боевик, драма, триллер, криминал",2013,США,7.9,"После того, как Дом и Брайн были в Рио и ограбили, и свергли империю вора в законе, и их команда получила 100 миллионов, наши герои оказались разбросаны по всему миру. Но их не способность вернуться домой и вечно жить в бегах, сделала их жизнь неполной."
Полицейский с Рублевки. Новогодний беспредел,"комедия, драма, криминал",2018,Россия,7.9,"В канун нового года отделение полиции «Барвиха Северное» оказывается под угрозой закрытия. Чтобы спасти родной отдел, полицейский с Рублевки Гриша Измайлов вынужден пойти на крайние меры и вместе с оперативниками решает ограбить банк. Он рассчитывает на то, что его коллеги вместе с начальником отдела – Яковлевым легко раскроют это дело, деньги вернут обратно, и все сохранят работу в следующем году. Но все идет не так, как задумал Гриша..."
Элвин и бурундуки 3,"семейный, мюзикл, комедия",2011,США,7.9,"Внезапно веселые каникулы омрачаются крушением судна, и наши герои оказываются на экзотическом необитаемом острове. Здесь и начнется настоящее приключение, в котором бурундуков ждёт много новых открытий."
Опасная игра Слоун,драма,2016,США,7.9,"Элизабет Слоун – самый востребованный и рисковый лоббист и самая сексуальная акула политического бизнеса США. Ловко ведя психологические игры и используя искусство манипуляции, она сражает оппонентов своей непредсказуемостью и никогда не проигрывает. Но когда она берется за самое сложное в своей карьере дело, она понимает, что цена победы может быть слишком высокой."
Выживший,"приключения, драма",2015,США,7.9,"Легендарный первопроходец Хью Гласс серьезно ранен в схватке с медведем и оставлен умирать своими товарищами по экспедиции на неизведанных просторах американского Дикого Запада. В стремлении выжить Гласс стойко встречает обрушившиеся на него невзгоды и предательство со стороны друга Джона Фицжеральда. Ведомый силой воли и любовью к своей семье, Хью должен преодолеть суровую зиму, чтобы выжить и найти искупление."
Оно приходит ночью,"ужасы, триллер, драма",2017,США,7.9,"Мир пожирает неизвестная эпидемия, но герой сумел найти островок безопасности для жены и ребенка — мужчина вывез семью подальше в лес, где в одиноко стоящем домике надеется переждать безумие, которое обрушилось на цивилизацию. Глава семейства вводит жесткие порядки и строжайшую дисциплину, что вселяет страх в его домочадцев, однако защищает от смертельных опасностей внешнего мира. Однажды на пороге дома появляются безобидные, казалось бы, гости, и хрупкой безопасности семьи приходит конец."
Аритмия,"драма, мелодрама",2017,Россия,7.9,"Олег - талантливый врач, работает на «скорой», которая мчится от пациента к пациенту. Олег знает: его приезд может изменить всё. Каждый его успех делает мир лучше. Самое важное — там, где он пытается совершить невозможное. А остальное может подождать: семья, карьера, своя жизнь… Что с ней случилось? Пока Олег спасал других, жена отчаялась и решила подать на развод, а в больнице появился новый начальник, который печется только о статистике и правилах. А Олег все спешит с вызова на вызов, несется по улице, чтобы всё изменить. И кто знает, какая задача легче: спасать других или спасти себя?"
Илья Муромец и Соловей Разбойник,"приключения, комедия, семейный, анимация",2007,Россия,7.9,"Славится земля русская богатырями богатырскими да разбойниками разбойничьими... А сверху всего князь княжеский сидит, за всем следит и порядок наводит, если нужно. Да только не всегда выходит у князя так, как нужно-правильно. Вот и сейчас — с богатырем поругался, да от Соловья Разбойника урон потерпел немалый: увел бандит окаянный казну государственную прямо из-под носа! Что делать князю? А ничего особенного — на то он и князь, чтоб из любой ситуации выход найти! Вот и отправились князь с Ильей на поиски похищенного, а за ними вслед увязалась корреспондентка летописи ""Новая береста"". А дорога непростая выдалась, до самого Царьграда довела, где встретил их Император Византийский, да только незадача вышла — повздорили наши герои с императором этим, и заключил он против Князя Киевского и Земель русских союз с Соловьем Разбойником..."
Сайлент Хилл,"ужасы, триллер",2006,Канада / Франция,7.9,-
Форсаж 8,"боевик, триллер, криминал",2017,США,7.9,"Пристегните ремни - гонка продолжается. Гавана, Берлин, Нью-Йорк, для самой крутой команды в мире нет ничего невозможного, пока они вместе.   Но когда на их пути окажется одна из самых красивых женщин на планете и по совместительству королева киберпреступности, дороги друзей разойдутся…"
Три богатыря и наследница престола,"анимация, приключения, семейный",2018,Россия,7.9,"Князь Киевский решил назначить наследника престола, только вот незадача - кто это может быть? Родственник, друг семьи или может быть, заморская принцесса? Недолго думая, Князь-батюшка выбирает почти принцессу, а главное родственницу -  племянницу Забаву. Нынче она вместе со своим мужем Елисеем (помните верного ученика Добрыни Никитича?) получает образование в далеком Царьграде, где правит коварный Василевс. Чтобы вернуть наследницу на родные просторы за тридевять земель в спешном порядке отправляются три богатыря и, конечно же, главный придворный конь Юлий."
Плохие парни 2,"боевик, комедия, триллер",2003,США,7.9,"Детективы отдела по борьбе с незаконным оборотом наркотиков Майк Лоури и Маркус Бэрнетт получают задание расследовать схему доставки нового наркотика в Майами. Это расследование выводит их на искусный заговор, сплетенный местным наркобароном с целью поставить под контроль всю торговлю наркотиками в городе. По чистой случайности про эти амбициозные планы узнают и остальные игроки нелегального рынка, в результате чего вспыхивает настоящая война. Несмотря на это, Майку и Маркусу удается успешно справляться с натиском наркомафии и сажать дилеров за решетку. Но ситуация начинает выходить из-под контроля, когда Майк не на шутку увлекается сестрой Маркуса, Сидни. Торжество закона висит на волоске – ведь вместо выполнения спецзаданий детективы начинают выяснять отношения между собой..."
2+1,"комедия, семейный, драма, мелодрама",2016,Франция / Великобритания,7.9,"Жизнь главного героя была легка и беззаботна ровно до тех пор, пока одна из его бывших не подкинула ему грудного ребёнка. Решив, что такая проблема ему не нужна, он поехал искать мать малышки Глории. Но все сложилось иначе…"
История Рыцаря,"приключения, комедия, мелодрама, боевик",2001,США,7.9,"На экране - глубокое Средневековье В нapoдe и среди аристократии очень популярны турниры. Молодой оруженосец Уильям Тэтчер (Хит Леджер) мечтает стать чемпионом. На первый взгляд, мечта несбыточна: для участия в таких соревнованиях необходимо быть рыцарем, а Уильям - простолюдин. Но, как говаривал отец Тэтчера, «если человек по-настоящему верит, ему подвластно все». Уильям верит в свою мечту сильно и страстно. Поддельные документы дают ему благородное имя, сила и отвага - славу непобедимого рыцаря. В итоге на долю кинематографической интриги остается только завоевание титула чемпиона и сердца прекрасной дамы. Но и этой малости для двухчасовой ленты хватает с избытком."
Красавчик,"мелодрама, комедия",2007,Германия,7.9,"Журналист Людо, схлопотавший восемь месяцев тюрьмы, освобожден на испытательный срок. Ему предстоит отработать триста часов в местном детском саду, где в его жизнь снова входит Анна — старая знакомая, которую Людо задирал в школе. Девушка решает выковать из дебошира примерного семьянина."
Темный рыцарь: Возрождение легенды,"драма, триллер, боевик",2012,США / Великобритания,7.9,"После смерти окружного прокурора Харви Дента, Бэтмен берёт на себя ответственность за совершённые им преступления, чтобы защитить его репутацию и репутацию полицейского департамента Готэма. Спустя восемь лет Бэтмен вынужден вернуться, чтобы помешать новому злодею Бэйну уничтожить город, а также узнать правду о загадочной Селине Кайл."
